code,state_code,country_code,name
024082,020001,JP,東北町
024112,020001,JP,六ヶ所村
024121,020001,JP,おいらせ町
024236,020001,JP,大間町
024244,020001,JP,東通村
024252,020001,JP,風間浦村
024261,020001,JP,佐井村
024414,020001,JP,三戸町
024422,020001,JP,五戸町
024431,020001,JP,田子町
024457,020001,JP,南部町
024465,020001,JP,階上町
024503,020001,JP,新郷村
032018,030007,JP,盛岡市
032026,030007,JP,宮古市
032034,030007,JP,大船渡市
032051,030007,JP,花巻市
032069,030007,JP,北上市
032077,030007,JP,久慈市
032085,030007,JP,遠野市
032093,030007,JP,一関市
032107,030007,JP,陸前高田市
032115,030007,JP,釜石市
032131,030007,JP,二戸市
032140,030007,JP,八幡平市
032158,030007,JP,奥州市
032166,030007,JP,滝沢市
033014,030007,JP,雫石町
033022,030007,JP,葛巻町
033031,030007,JP,岩手町
033219,030007,JP,紫波町
033227,030007,JP,矢巾町
033669,030007,JP,西和賀町
033812,030007,JP,金ケ崎町
034029,030007,JP,平泉町
034410,030007,JP,住田町
034614,030007,JP,大槌町
034827,030007,JP,山田町
034835,030007,JP,岩泉町
034843,030007,JP,田野畑村
034851,030007,JP,普代村
035017,030007,JP,軽米町
035033,030007,JP,野田村
035068,030007,JP,九戸村
035076,030007,JP,洋野町
035246,030007,JP,一戸町
041009,040002,JP,仙台市
041017,040002,JP,仙台市青葉区
041025,040002,JP,仙台市宮城野区
041033,040002,JP,仙台市若林区
041041,040002,JP,仙台市太白区
041050,040002,JP,仙台市泉区
042021,040002,JP,石巻市
042030,040002,JP,塩竈市
042056,040002,JP,気仙沼市
042064,040002,JP,白石市
042072,040002,JP,名取市
042081,040002,JP,角田市
042099,040002,JP,多賀城市
042111,040002,JP,岩沼市
042129,040002,JP,登米市
042137,040002,JP,栗原市
042145,040002,JP,東松島市
042153,040002,JP,大崎市
042161,040002,JP,富谷市
043010,040002,JP,蔵王町
043028,040002,JP,七ヶ宿町
043214,040002,JP,大河原町
043222,040002,JP,村田町
043231,040002,JP,柴田町
043249,040002,JP,川崎町
043419,040002,JP,丸森町
043613,040002,JP,亘理町
043621,040002,JP,山元町
044016,040002,JP,松島町
044041,040002,JP,七ヶ浜町
044067,040002,JP,利府町
044211,040002,JP,大和町
044229,040002,JP,大郷町
044245,040002,JP,大衡村
044440,040002,JP,色麻町
044458,040002,JP,加美町
045012,040002,JP,涌谷町
045055,040002,JP,美里町
045811,040002,JP,女川町
046060,040002,JP,南三陸町
052019,050008,JP,秋田市
052027,050008,JP,能代市
052035,050008,JP,横手市
052043,050008,JP,大館市
052060,050008,JP,男鹿市
052078,050008,JP,湯沢市
052094,050008,JP,鹿角市
052108,050008,JP,由利本荘市
052116,050008,JP,潟上市
052124,050008,JP,大仙市
052132,050008,JP,北秋田市
052141,050008,JP,にかほ市
052159,050008,JP,仙北市
053031,050008,JP,小坂町
053279,050008,JP,上小阿仁村
053465,050008,JP,藤里町
053481,050008,JP,三種町
053490,050008,JP,八峰町
053619,050008,JP,五城目町
053635,050008,JP,八郎潟町
053660,050008,JP,井川町
053686,050008,JP,大潟村
054348,050008,JP,美郷町
054631,050008,JP,羽後町
054640,050008,JP,東成瀬村
062014,060003,JP,山形市
062022,060003,JP,米沢市
062031,060003,JP,鶴岡市
062049,060003,JP,酒田市
062057,060003,JP,新庄市
062065,060003,JP,寒河江市
062073,060003,JP,上山市
062081,060003,JP,村山市
062090,060003,JP,長井市
062103,060003,JP,天童市
062111,060003,JP,東根市
062120,060003,JP,尾花沢市
062138,060003,JP,南陽市
063011,060003,JP,山辺町
063029,060003,JP,中山町
063215,060003,JP,河北町
063223,060003,JP,西川町
063231,060003,JP,朝日町
063240,060003,JP,大江町
063410,060003,JP,大石田町
063614,060003,JP,金山町
063622,060003,JP,最上町
063631,060003,JP,舟形町
063649,060003,JP,真室川町
063657,060003,JP,大蔵村
063665,060003,JP,鮭川村
063673,060003,JP,戸沢村
063819,060003,JP,高畠町
063827,060003,JP,川西町
064017,060003,JP,小国町
064025,060003,JP,白鷹町
064033,060003,JP,飯豊町
064262,060003,JP,三川町
064289,060003,JP,庄内町
064611,060003,JP,遊佐町
072010,070009,JP,福島市
072028,070009,JP,会津若松市
072036,070009,JP,郡山市
072044,070009,JP,いわき市
